node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,midYear,startUTLA,endUTLA,startRegion,endRegion,geoDist_km
26401,26402,0.00710681999999999,166277.243314571,575979.639464072,169388.630154375,577828.049958957,0.203389184,0.196282364,2020.8767526003,2020.8838594203,2020.8803060103,46,46,Kent,Kent,3.61843521768412
27485,27486,0.00118732999999999,170950.591998273,570308.744941584,168676.341548606,568258.34707407,0.203471654,0.202284324,2020.8827545603,2020.8839418903,2020.8833482253,194,194,Kent,Kent,3.06015324812648
20757,20803,0.0119252,169219.653142027,534775.704201511,164443.54269799,539857.161599845,0.20348164,0.19155644,2020.8720266763,2020.8839518763,2020.8779892763,335,335,Greater_London,Greater_London,6.96974349991224
32530,32531,0.0128908,183775.978211278,534153.073098259,186810.411527063,533942.661931164,0.203579681,0.190688881,2020.8711591173,2020.8840499173,2020.8776045173,361,361,Greater_London,Greater_London,3.04394187735796
28346,28347,0.00410415,187376.793113878,543597.957979248,191804.005423325,542030.247552291,0.20358106,0.19947691,2020.8799471463,2020.8840512963,2020.8819992213,350,350,Greater_London,Greater_London,4.69872178953664
19375,19376,0.0125361,173483.417808701,579752.43366929,171639.772833746,582147.232486316,0.203588427,0.191052327,2020.8715225633,2020.8840586633,2020.8777906133,46,NA,Kent,NA,3.01931911121115
31233,31288,0.0207436,190601.914962681,541180.842744166,186882.374924406,550990.465599322,0.20359969,0.18285609,2020.8633263263,2020.8840699263,2020.8736981263,350,364,Greater_London,Greater_London,10.475066784828
26463,26464,0.0436932,172309.426679956,576910.071683076,169512.700025732,572018.585169208,0.203619912,0.159926712,2020.8403969483,2020.8840901483,2020.8622435483,46,46,Kent,Kent,5.62644702659412
27174,27175,0.0121632,322088.386995057,562809.938811965,315034.852829869,564701.893672651,0.203630587,0.191467387,2020.8719376233,2020.8841008233,2020.8780192233,305,305,Norfolk,Norfolk,7.30503747510416
22594,22595,0.00308385999999999,190499.653898533,534794.524128511,196745.499014146,536957.917075123,0.20363235,0.20054849,2020.8810187263,2020.8841025863,2020.8825606563,362,348,Greater_London,Greater_London,6.61251424208152
18117,18138,0.0303638,185968.51024428,530678.388050243,194453.105686809,533464.61253205,0.203674183,0.173310383,2020.8537806193,2020.8841444193,2020.8689625193,360,348,Greater_London,Greater_London,8.93429611866189
25668,25669,0.011217,153713.06645456,501976.070768746,150433.906227536,511814.387735147,0.20369155,0.19247455,2020.8729447863,2020.8841617863,2020.8785532863,244,247,NA,NA,10.3551507412995
28347,28369,0.000156070000000008,191804.005423325,542030.247552291,191801.58035815,542350.631355497,0.20373713,0.20358106,2020.8840512963,2020.8842073663,2020.8841293313,350,350,Greater_London,Greater_London,0.319786404271648
30336,30352,0.00396773,183245.553489018,537298.242298125,182197.932324637,540200.662585556,0.203740875,0.199773145,2020.8802433813,2020.8842111113,2020.8822272463,359,363,Greater_London,Greater_London,3.08097227242442
33818,33819,0.000413410000000003,177608.709656336,550116.740871078,177983.713785822,550397.891587919,0.20378775,0.20337434,2020.8838445763,2020.8842579863,2020.8840512813,347,347,Greater_London,Greater_London,0.468543020340412
28452,28453,0.0247326,183703.413924483,575652.471538648,186920.902854171,565961.93820446,0.203824771,0.179092171,2020.8595624073,2020.8842950073,2020.8719287073,287,110,NA,Greater_London,10.1934665856525
21555,21582,0.00389181,289408.673618775,406318.466992316,288416.694835141,410192.868419299,0.20387434,0.19998253,2020.8804527663,2020.8843445763,2020.8823986713,69,69,Birmingham,Birmingham,3.9931971139001
23896,23897,0.0339547,183611.479822365,541069.536695778,181682.690235622,537597.38851134,0.20388378,0.16992908,2020.8503993163,2020.8843540163,2020.8673766663,363,359,Greater_London,Greater_London,3.96663615273562
34171,34172,0.0178751,169850.751274328,631092.306339041,169693.307474099,631876.585343341,0.20388758,0.18601248,2020.8664827163,2020.8843578163,2020.8754202663,293,293,Kent,Kent,0.79821471842604
35255,35256,0.0159267,187178.92298163,575075.215219343,186084.076163689,570869.858802079,0.203890445,0.187963745,2020.8684339813,2020.8843606813,2020.8763973313,286,110,NA,NA,4.33733715234047
27163,27164,0.00164976999999999,168349.327748789,628720.672240457,168105.995059392,629544.377105314,0.2039521326,0.2023023626,2020.8827725989,2020.8844223689,2020.8835974839,293,293,Kent,Kent,0.857177862899301
33529,33530,0.000879361999999995,161881.855074139,553418.473236509,162708.508533063,552059.252394042,0.203966542,0.20308718,2020.8835574163,2020.8844367783,2020.8839970973,189,189,Kent,Kent,1.58904841015439
27548,27549,0.036625,148184.153505008,557506.454386036,106605.644488165,543869.732928669,0.20397315,0.16734815,2020.8478183863,2020.8844433863,2020.8661308863,190,277,Kent,NA,43.7778461236966
19492,19493,0.0533699,165399.142241419,575790.69248743,168484.861662902,576701.048839455,0.20397604,0.15060614,2020.8310763763,2020.8844462763,2020.8577613263,46,46,Kent,Kent,3.21831130705548
29554,29555,0.00173570000000001,185916.048847831,534444.835629542,185733.966262454,538710.049579245,0.2039856454,0.2022499454,2020.8827201817,2020.8844558817,2020.8835880317,361,349,Greater_London,Greater_London,4.26115074194018
31792,31804,0.0114317,176480.266795996,546127.772728042,177698.099645108,535161.374120943,0.204001208,0.192569508,2020.8730397443,2020.8844714443,2020.8787555943,347,344,Greater_London,Greater_London,11.013575306647
18526,18527,0.0151355,186953.555275827,532479.157584908,185286.418296484,532227.777626109,0.204008545,0.188873045,2020.8693432813,2020.8844787813,2020.8769110313,361,360,Greater_London,Greater_London,1.68709570055325
22209,22210,0.0166676,184090.805331663,543810.709574988,184047.142281951,542474.790229715,0.204062744,0.187395144,2020.8678653803,2020.8845329803,2020.8761991803,364,363,Greater_London,Greater_London,1.33409874640554
